# Matter power spectrum P(k) for dark radiation density isocurvature (DRID) mode at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.670259306711e-02       1.941370005711e+02 
       3.687199172149e-02       1.925761616716e+02 
       3.704241240831e-02       1.910101148147e+02 
       3.721388773101e-02       1.894407215764e+02 
       3.738645165197e-02       1.878673407628e+02 
       3.756013956659e-02       1.862905318617e+02 
       3.773498838238e-02       1.847107576326e+02 
       3.791103660361e-02       1.831283290046e+02 
       3.808832442192e-02       1.815433867983e+02 
       3.826689381338e-02       1.799564693012e+02 
       3.844678864257e-02       1.783677670358e+02 
       3.862805477434e-02       1.767787870431e+02 
       3.881074019387e-02       1.751876999651e+02 
       3.899489513577e-02       1.735971990467e+02 
       3.918057222317e-02       1.720059403753e+02 
       3.936782661753e-02       1.704149551216e+02 
       3.955671618032e-02       1.688249493578e+02 
       3.974730164770e-02       1.672356826021e+02 
       3.993964681935e-02       1.656477745742e+02 
       4.013381876301e-02       1.640614972463e+02 
       4.032988803607e-02       1.624773731777e+02 
       4.052792892625e-02       1.608957039266e+02 
       4.072801971300e-02       1.593174999532e+02 
       4.093024295208e-02       1.577417005375e+02 
       4.113468578558e-02       1.561699916641e+02 
       4.134144028033e-02       1.546018668274e+02 
       4.155060379763e-02       1.530389439391e+02 
       4.176227939797e-02       1.514804362759e+02 
       4.197657628467e-02       1.499275843689e+02 
       4.219361029095e-02       1.483810567867e+02 
       4.241350441563e-02       1.468399251040e+02 
       4.263638941325e-02       1.453058501821e+02 
       4.286240444534e-02       1.437791961963e+02 
       4.309169780052e-02       1.422606687100e+02 
       4.332442769209e-02       1.407505728638e+02 
       4.356076314340e-02       1.392490734006e+02 
       4.380088497240e-02       1.377577568965e+02 
       4.404498688909e-02       1.362765752734e+02 
       4.429327672121e-02       1.348062101336e+02 
       4.454597778650e-02       1.333472765276e+02 
       4.480333043253e-02       1.319021167359e+02 
       4.506559376895e-02       1.304701088334e+02 
       4.533304762093e-02       1.290529312634e+02 
       4.560599473824e-02       1.276507403773e+02 
       4.588476329991e-02       1.262654590072e+02 
       4.616970976244e-02       1.248977472875e+02 
       4.646122210828e-02       1.235488752868e+02 
       4.675972356217e-02       1.222213959846e+02 
       4.706567685674e-02       1.209157336505e+02 
       4.737958914479e-02       1.196348550763e+02 
       4.770201767611e-02       1.183795479580e+02 
       4.803357638187e-02       1.171531320167e+02 
       4.837494354041e-02       1.159565149798e+02 
       4.872687073731e-02       1.147959187644e+02 
       4.909019338088e-02       1.136709309069e+02 
       4.946584309549e-02       1.125862778018e+02 
       4.985486239192e-02       1.115467310858e+02 
       5.025842211141e-02       1.105586304426e+02 
       5.067784226391e-02       1.096242546785e+02 
       5.111461703865e-02       1.087514618295e+02 
       5.157044496582e-02       1.079487839877e+02 
       5.204726546434e-02       1.072233177980e+02 
       5.254730333605e-02       1.065856555813e+02 
       5.307312317779e-02       1.060488667080e+02 
       5.362769619685e-02       1.056246381876e+02 
       5.421448254396e-02       1.053321793356e+02 
       5.483753302069e-02       1.051895463134e+02 
       5.550161483578e-02       1.052219867168e+02 
       5.621236685917e-02       1.054570356150e+02 
       5.697649026558e-02       1.059299985933e+02 
       5.780197994418e-02       1.066807810864e+02 
       5.869839929942e-02       1.077571384076e+02 
       5.967719360637e-02       1.092151253378e+02 
       6.075202039364e-02       1.111168659380e+02 
       6.193904182044e-02       1.135289656846e+02 
       6.325706278833e-02       1.165120186427e+02 
       6.472729914943e-02       1.201033157095e+02 
       6.637242881919e-02       1.242851598583e+02 
       6.821447790535e-02       1.289344229734e+02 
       7.027120623908e-02       1.337530621658e+02 
       7.255127732672e-02       1.382087029018e+02 
       7.504972585530e-02       1.415306332849e+02 
       7.774630822446e-02       1.428277031290e+02 
       8.060862224015e-02       1.413267836605e+02 
       8.359900528026e-02       1.366500048766e+02 
       8.668172069278e-02       1.289703406549e+02 
       8.982743405100e-02       1.189823362534e+02 
       9.301442977493e-02       1.077100893933e+02 
       9.622773700232e-02       9.625485036940e+01 
       9.945751139537e-02       8.558095091527e+01 
       1.026974739223e-01       7.638802301040e+01 
       1.059436957830e-01       6.907910750725e+01 
       1.091937478011e-01       6.379597945505e+01 
       1.124461388965e-01       6.048610245515e+01 
       1.156999577935e-01       5.896401948116e+01 
       1.189546489666e-01       5.895323007718e+01 
       1.222098742094e-01       6.010584382604e+01 
       1.254654277220e-01       6.201366110541e+01 
       1.287211842536e-01       6.422514807288e+01 
       1.319770675153e-01       6.627794542096e+01 
       1.352330309695e-01       6.774765988200e+01 
       1.384890461567e-01       6.830129189121e+01 
       1.417450956072e-01       6.774279974557e+01 
       1.449275362319e-01       6.608610510187e+01 
       1.450011685359e-01       6.603539284563e+01 
       1.482572582289e-01       6.329636441966e+01 
       1.515133604560e-01       5.976448432700e+01 
       1.547694725068e-01       5.575197097453e+01 
       1.580255926037e-01       5.159016032116e+01 
       1.612817195460e-01       4.758208863630e+01 
       1.645378524917e-01       4.397024941830e+01 
       1.677939908254e-01       4.092077377447e+01 
       1.710501340766e-01       3.852258335487e+01 
       1.743062818700e-01       3.679705504848e+01 
       1.775624338943e-01       3.571090643906e+01 
       1.808185898828e-01       3.518853449500e+01 
       1.840747496015e-01       3.512339548274e+01 
       1.873309128408e-01       3.542569933372e+01 
       1.905870794106e-01       3.591867781245e+01 
       1.938432491369e-01       3.644092439259e+01 
       1.970994218589e-01       3.683982464369e+01 
       2.003555974275e-01       3.698989517005e+01 
       2.036117757039e-01       3.681079439832e+01 
       2.068679565588e-01       3.627269948997e+01 
       2.101241398708e-01       3.539319874438e+01 
       2.133803255263e-01       3.422575074109e+01 
       2.166365134188e-01       3.284629359903e+01 
       2.198927034481e-01       3.134116959781e+01 
       2.231488955198e-01       2.979812302483e+01 
       2.264050895452e-01       2.829984265079e+01 
       2.296612854406e-01       2.691856960378e+01 
       2.329174831271e-01       2.571063345136e+01 
       2.361736825299e-01       2.471227093287e+01 
       2.394298835787e-01       2.393765545890e+01 
       2.426860862066e-01       2.337919647831e+01 
       2.459422903507e-01       2.301135874869e+01 
       2.491984959510e-01       2.279585661169e+01 
       2.524547029508e-01       2.268765793609e+01 
       2.557109112964e-01       2.264015944790e+01 
       2.589671209366e-01       2.260853481474e+01 
       2.622233318230e-01       2.255228044562e+01 
       2.654795439094e-01       2.243678974225e+01 
       2.687357571520e-01       2.223510840988e+01 
       2.719919715088e-01       2.193063114172e+01 
       2.752481869403e-01       2.151933029172e+01 
       2.785044034084e-01       2.101057958983e+01 
       2.817606208770e-01       2.042573583991e+01 
       2.850168393116e-01       1.979422069800e+01 
       2.882730586794e-01       1.914796309042e+01 
       2.915292789488e-01       1.851653632106e+01 
       2.947855000899e-01       1.792359964268e+01 
       2.980417220738e-01       1.738535471911e+01 
       3.012979448732e-01       1.691168688660e+01 
       3.045541684617e-01       1.650677526288e+01 
       3.078103928142e-01       1.617034876512e+01 
       3.110666179065e-01       1.589813894077e+01 
       3.143228437156e-01       1.568174495338e+01 
       3.175790702192e-01       1.550893542471e+01 
       3.208352973961e-01       1.536436740985e+01 
       3.240915252260e-01       1.523142224127e+01 
       3.273477536892e-01       1.509461534623e+01 
       3.306039827669e-01       1.494160001040e+01 
       3.338602124411e-01       1.476428466248e+01 
       3.371164426943e-01       1.455931454632e+01 
       3.403726735100e-01       1.432677499084e+01 
       3.436289048721e-01       1.406951105462e+01 
       3.468851367650e-01       1.379156588759e+01 
       3.501413691739e-01       1.349922828729e+01 
       3.533976020844e-01       1.319901159437e+01 
       3.566538354829e-01       1.289879343273e+01 
       3.599100693559e-01       1.260676534864e+01 
       3.631663036906e-01       1.233060762595e+01 
       3.664225384747e-01       1.207598725505e+01 
       3.696787736963e-01       1.184592502052e+01 
       3.729350093439e-01       1.164038447659e+01 
       3.761912454062e-01       1.145707994063e+01 
       3.794474818727e-01       1.129232772806e+01 
       3.827037187329e-01       1.114195871431e+01 
       3.859599559769e-01       1.100211599558e+01 
       3.892161935949e-01       1.086922539048e+01 
       3.924724315777e-01       1.073994058682e+01 
       3.957286699161e-01       1.061083587207e+01 
       3.989849086015e-01       1.047899176976e+01 
       4.022411476254e-01       1.034119774906e+01 
       4.054973869796e-01       1.019626420254e+01 
       4.087536266561e-01       1.004415647546e+01 
       4.120098666473e-01       9.886309766682e+00 
       4.152661069458e-01       9.725087014448e+00 
       4.185223475443e-01       9.563083973310e+00 
       4.217785884360e-01       9.402431428209e+00 
       4.250348296139e-01       9.244751928352e+00 
       4.282910710717e-01       9.091099424663e+00 
       4.315473128028e-01       8.942346506694e+00 
       4.348035548012e-01       8.799490769097e+00 
       4.380597970609e-01       8.663608812604e+00 
       4.413160395760e-01       8.535470128286e+00 
       4.445722823409e-01       8.415328410872e+00 
       4.478285253503e-01       8.302646458387e+00 
       4.510847685986e-01       8.196025874736e+00 
       4.543410120809e-01       8.093779836496e+00 
       4.575972557920e-01       7.994258182633e+00 
       4.608534997271e-01       7.896171626842e+00 
       4.641097438815e-01       7.798761335632e+00 
       4.673659882506e-01       7.701656577264e+00 
       4.706222328299e-01       7.604552587593e+00 
       4.738784776151e-01       7.507076405143e+00 
       4.771347226018e-01       7.408752813121e+00 
       4.803909677861e-01       7.309302610006e+00 
       4.836472131640e-01       7.208828482641e+00 
       4.869034587314e-01       7.107964389834e+00 
       4.901597044847e-01       7.007733334716e+00 
       4.934159504200e-01       6.909306032083e+00 
       4.966721965340e-01       6.813651360231e+00 
       4.999284428230e-01       6.721240926917e+00 
       5.031846892836e-01       6.632068611455e+00 
       5.064409359125e-01       6.545941433182e+00 
       5.096971827065e-01       6.462563593429e+00 
       5.129534296624e-01       6.381783622417e+00 
       5.162096767772e-01       6.303618228328e+00 
       5.194659240478e-01       6.227983301212e+00 
       5.227221714714e-01       6.154659589095e+00 
       5.259784190450e-01       6.083164175505e+00 
       5.292346667659e-01       6.012806910763e+00 
       5.324909146314e-01       5.942916319368e+00 
       5.357471626389e-01       5.873111670614e+00 
       5.390034107857e-01       5.803311970719e+00 
       5.422596590694e-01       5.733792246110e+00 
       5.455159074875e-01       5.664882381702e+00 
       5.487721560376e-01       5.596862590116e+00 
       5.520284047173e-01       5.529794295548e+00 
       5.552846535243e-01       5.463595989733e+00 
       5.585409024565e-01       5.398132094322e+00 
       5.617971515117e-01       5.333393457827e+00 
       5.650534006877e-01       5.269604359938e+00 
       5.683096499823e-01       5.207057721754e+00 
       5.715658993937e-01       5.146075746557e+00 
       5.748221489198e-01       5.086792449116e+00 
       5.780783985587e-01       5.029064544294e+00 
       5.813346483084e-01       4.972701390885e+00 
       5.845908981671e-01       4.917355671033e+00 
       5.878471481330e-01       4.862827244328e+00 
       5.911033982043e-01       4.809094428267e+00 
       5.943596483793e-01       4.756274579654e+00 
