# Matter power spectrum P(k) at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.299982646385e-02       2.288983917129e+04 
       2.313466494041e-02       2.282847847204e+04 
       2.326960735105e-02       2.276647057825e+04 
       2.340465583717e-02       2.270381762991e+04 
       2.353981259181e-02       2.264058914686e+04 
       2.367507986086e-02       2.257674473294e+04 
       2.381045994443e-02       2.251231075613e+04 
       2.394595519819e-02       2.244737249830e+04 
       2.408156803474e-02       2.238187044068e+04 
       2.421730092510e-02       2.231579662531e+04 
       2.435315640014e-02       2.224920246795e+04 
       2.448913705218e-02       2.218213006827e+04 
       2.462524553649e-02       2.211451907906e+04 
       2.476148457300e-02       2.204642811819e+04 
       2.489785694796e-02       2.197792068698e+04 
       2.503436551566e-02       2.190897472696e+04 
       2.517101320028e-02       2.183949479696e+04 
       2.530780299770e-02       2.176964106027e+04 
       2.544473797743e-02       2.169937018025e+04 
       2.558182128461e-02       2.162867550469e+04 
       2.571905614206e-02       2.155760540502e+04 
       2.585644585238e-02       2.148614590646e+04 
       2.599399380014e-02       2.141430238934e+04 
       2.613170345416e-02       2.134211172695e+04 
       2.626957836985e-02       2.126957391432e+04 
       2.640762219159e-02       2.119675837544e+04 
       2.654583865529e-02       2.112353617585e+04 
       2.668423159097e-02       2.105003118735e+04 
       2.682280492538e-02       2.097626128469e+04 
       2.696156268488e-02       2.090217759984e+04 
       2.710050899822e-02       2.082782580571e+04 
       2.723964809955e-02       2.075317369062e+04 
       2.737898433152e-02       2.067828282477e+04 
       2.751852214844e-02       2.060314174885e+04 
       2.765826611962e-02       2.052779498597e+04 
       2.779822093278e-02       2.045221812732e+04 
       2.793839139761e-02       2.037642677625e+04 
       2.807878244945e-02       2.030037222704e+04 
       2.821939915313e-02       2.022417779139e+04 
       2.836024670693e-02       2.014777945395e+04 
       2.850133044671e-02       2.007118216464e+04 
       2.864265585015e-02       1.999444251602e+04 
       2.878422854125e-02       1.991752323559e+04 
       2.892605429489e-02       1.984043784687e+04 
       2.906813904165e-02       1.976325712022e+04 
       2.921048887277e-02       1.968591833135e+04 
       2.935311004534e-02       1.960844627101e+04 
       2.949600898770e-02       1.953085497327e+04 
       2.963919230502e-02       1.945318911932e+04 
       2.978266678511e-02       1.937540496937e+04 
       2.992643940455e-02       1.929751993091e+04 
       3.007051733493e-02       1.921950755512e+04 
       3.021490794948e-02       1.914147885302e+04 
       3.035961882993e-02       1.906335271324e+04 
       3.050465777360e-02       1.898514153417e+04 
       3.065003280092e-02       1.890692476622e+04 
       3.079575216314e-02       1.882859728683e+04 
       3.094182435048e-02       1.875024982134e+04 
       3.108825810057e-02       1.867187849119e+04 
       3.123506240729e-02       1.859347514875e+04 
       3.138224653001e-02       1.851506606762e+04 
       3.152982000319e-02       1.843663581613e+04 
       3.167779264652e-02       1.835809124822e+04 
       3.182617457542e-02       1.827966231426e+04 
       3.197497621211e-02       1.820121036459e+04 
       3.212420829708e-02       1.812272351117e+04 
       3.227388190124e-02       1.804426452121e+04 
       3.242400843858e-02       1.796583215385e+04 
       3.257459967937e-02       1.788739625298e+04 
       3.272566776415e-02       1.780899824399e+04 
       3.287722521826e-02       1.773065301793e+04 
       3.302928496716e-02       1.765234620907e+04 
       3.318186035254e-02       1.757397573126e+04 
       3.333496514912e-02       1.749573927247e+04 
       3.348861358247e-02       1.741754832381e+04 
       3.364282034761e-02       1.733941380592e+04 
       3.379760062863e-02       1.726131036139e+04 
       3.395297011936e-02       1.718326662375e+04 
       3.410894504507e-02       1.710532926676e+04 
       3.426554218541e-02       1.702738967336e+04 
       3.442277889853e-02       1.694954737503e+04 
       3.458067314653e-02       1.687179944106e+04 
       3.473924352237e-02       1.679413689245e+04 
       3.489850927820e-02       1.671648990014e+04 
       3.505849035534e-02       1.663900068669e+04 
       3.521920741601e-02       1.656150994319e+04 
       3.538068187678e-02       1.648414622822e+04 
       3.554293594411e-02       1.640686040847e+04 
       3.570599265188e-02       1.632971128755e+04 
       3.586987590125e-02       1.625260182372e+04 
       3.603461050288e-02       1.617559071005e+04 
       3.620022222175e-02       1.609867600039e+04 
       3.636673782475e-02       1.602186723306e+04 
       3.653418513129e-02       1.594512531008e+04 
       3.670259306711e-02       1.586852439253e+04 
       3.687199172149e-02       1.579196512645e+04 
       3.704241240831e-02       1.571555727355e+04 
       3.721388773101e-02       1.563921354936e+04 
       3.738645165197e-02       1.556300475960e+04 
       3.756013956659e-02       1.548681995145e+04 
       3.773498838238e-02       1.541081445018e+04 
       3.791103660361e-02       1.533486345707e+04 
       3.808832442192e-02       1.525897592212e+04 
       3.826689381338e-02       1.518319797874e+04 
       3.844678864257e-02       1.510760401289e+04 
       3.862805477434e-02       1.503207603797e+04 
       3.881074019387e-02       1.495655629026e+04 
       3.899489513577e-02       1.488117382900e+04 
       3.918057222317e-02       1.480585564555e+04 
