# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       4.521453188499e-10       1.108634047926e-13       4.104108648485e-13       0.000000000000e+00       1.710149487926e-11       2.248493560685e-12      -8.751610211580e-15 
   80       4.546014104884e-10       1.148195662085e-13       3.444173145305e-13       0.000000000000e+00       1.657441255317e-11       2.190938459198e-12      -8.641953953126e-15 
   81       4.570897431173e-10       1.188351617263e-13       2.760562249264e-13       0.000000000000e+00       1.606903177773e-11       2.135603060264e-12      -8.534706977377e-15 
   82       4.596101159013e-10       1.229080414125e-13       2.053608032033e-13       0.000000000000e+00       1.558389171491e-11       2.082325440663e-12      -8.429746388792e-15 
   83       4.621612848639e-10       1.270359212789e-13       1.323672322568e-13       0.000000000000e+00       1.511712726750e-11       2.030899022765e-12      -8.326879414112e-15 
   84       4.647419558412e-10       1.312164794309e-13       5.711374430006e-14       0.000000000000e+00       1.466692078083e-11       1.981124831229e-12      -8.226000824819e-15 
   85       4.673540616746e-10       1.354476677223e-13      -2.036237360249e-14       0.000000000000e+00       1.423297752236e-11       1.932982025051e-12      -8.127601731289e-15 
   86       4.699999394348e-10       1.397274479083e-13      -1.000222513401e-13       0.000000000000e+00       1.381526720315e-11       1.886482579974e-12      -8.032340052767e-15 
   87       4.726813040731e-10       1.440536972823e-13      -1.818245339729e-13       0.000000000000e+00       1.341357064422e-11       1.841618987970e-12      -7.940887321854e-15 
   88       4.753992160968e-10       1.484242080942e-13      -2.657253798971e-13       0.000000000000e+00       1.302747195659e-11       1.798363426149e-12      -7.853928394099e-15 
   89       4.781540492450e-10       1.528366869687e-13      -3.516784590103e-13       0.000000000000e+00       1.265635072123e-11       1.756666925672e-12      -7.772161157583e-15 
   90       4.809454581636e-10       1.572887543233e-13      -4.396349508772e-13       0.000000000000e+00       1.229937416902e-11       1.716458540666e-12      -7.696296242513e-15 
   91       4.837723460807e-10       1.617779437871e-13      -5.295435428948e-13       0.000000000000e+00       1.195548936074e-11       1.677644517137e-12      -7.627056730807e-15 
   92       4.866328324824e-10       1.663017016184e-13      -6.213504284575e-13       0.000000000000e+00       1.162341536704e-11       1.640107461879e-12      -7.565177865686e-15 
   93       4.895251916936e-10       1.708574194697e-13      -7.150002435993e-13       0.000000000000e+00       1.130194619658e-11       1.603734480719e-12      -7.511148528770e-15 
   94       4.924509003093e-10       1.754425395815e-13      -8.104390420468e-13       0.000000000000e+00       1.099092868246e-11       1.568508239377e-12      -7.464391825106e-15 
