# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   92       4.869475498347e-10       1.666616751149e-13      -6.226133381053e-13       4.473795557339e-16       1.162341536704e-11       1.640107461879e-12      -7.565177865686e-15 
   93       4.898438139394e-10       1.712220226031e-13      -7.162071284029e-13       4.569463599445e-16       1.130194619658e-11       1.603734480719e-12      -7.511148528770e-15 
   94       4.927734214922e-10       1.758116785090e-13      -8.115835896408e-13       4.666048533077e-16       1.099092868246e-11       1.568508239377e-12      -7.464391825106e-15 
   95       4.957383924648e-10       1.804280446230e-13      -9.086875022821e-13       4.763551712922e-16       1.069041789586e-11       1.534428125292e-12      -7.423960147685e-15 
   96       4.987403525160e-10       1.850684511818e-13      -1.007461651202e-12       4.861974943682e-16       1.040037599572e-11       1.501482070977e-12      -7.388778645267e-15 
   97       5.017805139662e-10       1.897301567539e-13      -1.107846836926e-12       4.961320493918e-16       1.012066867427e-11       1.469646120591e-12      -7.357641387261e-15 
   98       5.048596567711e-10       1.944103481243e-13      -1.209781886873e-12       5.061591109881e-16       9.851061602609e-12       1.438883996504e-12      -7.329207528593e-15 
   99       5.079781094959e-10       1.991061401796e-13      -1.313203666593e-12       5.162790029360e-16       9.591216876271e-12       1.409146665873e-12      -7.301997474582e-15 
  100       5.111357302893e-10       2.038145757932e-13      -1.418047091011e-12       5.264920995511e-16       9.340689460784e-12       1.380371907208e-12      -7.274389045814e-15 
  101       5.143318878577e-10       2.085326257099e-13      -1.524245135662e-12       5.367988270702e-16       9.098923637234e-12       1.352483876945e-12      -7.244613643016e-15 
  102       5.175654424391e-10       2.132571884315e-13      -1.631728847937e-12       5.471996650347e-16       8.865249447834e-12       1.325392676015e-12      -7.210752411930e-15 
  103       5.208347267773e-10       2.179850901013e-13      -1.740427358318e-12       5.576951476749e-16       8.638879141485e-12       1.298993916414e-12      -7.170732408185e-15 
  104       5.241382201639e-10       2.227131575425e-13      -1.850268354675e-12       5.682857908087e-16       8.419085220739e-12       1.273193467445e-12      -7.122820612151e-15 
  105       5.274767152434e-10       2.274384488572e-13      -1.961179553899e-12       5.789718583127e-16       8.205769630243e-12       1.247986435100e-12      -7.067190236042e-15 
  106       5.308514098050e-10       2.321580539085e-13      -2.073087450948e-12       5.897535665378e-16       7.998965188814e-12       1.223388093272e-12      -7.004559837290e-15 
  107       5.342632285798e-10       2.368690246297e-13      -2.185916889671e-12       6.006311565358e-16       7.798659314114e-12       1.199409501965e-12      -6.935715978854e-15 
  108       5.377128118315e-10       2.415683757134e-13      -2.299591079143e-12       6.116048946239e-16       7.604792463831e-12       1.176057350568e-12      -6.861514864972e-15 
  109       5.412005039464e-10       2.462530853000e-13      -2.414031609991e-12       6.226750729509e-16       7.417256576865e-12       1.153333801121e-12      -6.782883976916e-15 
  110       5.447263420236e-10       2.509200956670e-13      -2.529158470724e-12       6.338420100621e-16       7.235893514512e-12       1.131236331588e-12      -6.700823708741e-15 
  111       5.482900444649e-10       2.555663139176e-13      -2.644890064062e-12       6.451060514645e-16       7.060493501648e-12       1.109757579125e-12      -6.616409003042e-15 
  112       5.518909995657e-10       2.601886126699e-13      -2.761143223262e-12       6.564675701926e-16       6.890793567912e-12       1.088885183350e-12      -6.530790986702e-15 
  113       5.555282541045e-10       2.647838307455e-13      -2.877833228451e-12       6.679269673733e-16       6.726475988889e-12       1.068601629613e-12      -6.445198606649e-15 
  114       5.592005019334e-10       2.693487738584e-13      -2.994873822950e-12       6.794846727913e-16       6.567166727299e-12       1.048884092268e-12      -6.360940265608e-15 
  115       5.629060725683e-10       2.738802153044e-13      -3.112177229609e-12       6.911411454546e-16       6.412433874174e-12       1.029704277940e-12      -6.279405457850e-15 
  116       5.666434253611e-10       2.783749700695e-13      -3.229655467354e-12       7.028968668680e-16       6.261882044452e-12       1.011034896146e-12      -6.201779323159e-15 
  117       5.704127245709e-10       2.828301259070e-13      -3.347224447541e-12       7.147523187164e-16       6.115451916471e-12       9.928702987366e-13      -6.128143439713e-15 
  118       5.742144352574e-10       2.872428417797e-13      -3.464800408626e-12       7.267080035177e-16       5.973154353120e-12       9.752080671835e-13      -6.058268267377e-15 
  119       5.780488279693e-10       2.916102782772e-13      -3.582298688022e-12       7.387644521661e-16       5.834977003377e-12       9.580425126995e-13      -5.991889554490e-15 
  120       5.819159718052e-10       2.959295989535e-13      -3.699633749930e-12       7.509222244341e-16       5.700883591892e-12       9.413645781049e-13      -5.928707435316e-15 
  121       5.858157274733e-10       3.001979716656e-13      -3.816719213160e-12       7.631819094726e-16       5.570813208580e-12       9.251617396938e-13      -5.868385527498e-15 
  122       5.897477403524e-10       3.044125699114e-13      -3.933467878955e-12       7.755441263120e-16       5.444679598202e-12       9.094179091023e-13      -5.810550029507e-15 
  123       5.937114335523e-10       3.085705741675e-13      -4.049791758820e-12       7.880095243632e-16       5.322370449957e-12       8.941133351751e-13      -5.754788818100e-15 
  124       5.977060009738e-10       3.126691732275e-13      -4.165602102343e-12       8.005787839182e-16       5.203746687067e-12       8.792245058329e-13      -5.700650545764e-15 
  125       6.017304003696e-10       3.167055655404e-13      -4.280809425024e-12       8.132526166510e-16       5.088641756365e-12       8.647240499396e-13      -5.647643738176e-15 
  126       6.057833464041e-10       3.206769605477e-13      -4.395323536096e-12       8.260317661189e-16       4.976860917880e-12       8.505806391692e-13      -5.595235891651e-15 
