# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   54       2.069090057345e-10       1.919853320634e-14      -4.519299075493e-14       0.000000000000e+00       4.160927007056e-11       4.834771742666e-12      -8.543851949845e-15 
   55       2.098863343044e-10       2.033342849088e-14      -7.699804662972e-14       0.000000000000e+00       3.992285032196e-11       4.659007542045e-12      -8.760194385487e-15 
   56       2.128902339051e-10       2.150618899735e-14      -1.105665515176e-13       0.000000000000e+00       3.832352298022e-11       4.492594873013e-12      -9.042514207501e-15 
   57       2.159229378705e-10       2.271688086590e-14      -1.459080369646e-13       0.000000000000e+00       3.681034487911e-11       4.335363781181e-12      -9.366670589030e-15 
   58       2.189857023443e-10       2.396553004014e-14      -1.830303033974e-13       0.000000000000e+00       3.537980937592e-11       4.186857680755e-12      -9.704400564561e-15 
   59       2.220787272076e-10       2.525212148860e-14      -2.219394197786e-13       0.000000000000e+00       3.402568824860e-11       4.046315830309e-12      -1.002313041303e-14 
   60       2.252010770075e-10       2.657659842613e-14      -2.626397232612e-13       0.000000000000e+00       3.273887359272e-11       3.912655808540e-12      -1.028578704093e-14 
   61       2.283514877621e-10       2.793879065697e-14      -3.051321378175e-13       0.000000000000e+00       3.150989637497e-11       3.784765407219e-12      -1.045946075145e-14 
   62       2.315311778821e-10       2.933818256970e-14      -3.494086898910e-13       0.000000000000e+00       3.033750037334e-11       3.662494517076e-12      -1.054409246078e-14 
   63       2.347415307473e-10       3.077409144769e-14      -3.954567555090e-13       0.000000000000e+00       2.922172095173e-11       3.545855797508e-12      -1.054992023586e-14 
   64       2.379832145511e-10       3.224573078477e-14      -4.432605800608e-13       0.000000000000e+00       2.816130650091e-11       3.434727351520e-12      -1.048928651558e-14 
   65       2.412561313365e-10       3.375220725778e-14      -4.928012246150e-13       0.000000000000e+00       2.715364526386e-11       3.328845019059e-12      -1.037673034170e-14 
   66       2.445593660324e-10       3.529251769906e-14      -5.440565122363e-13       0.000000000000e+00       2.619469216105e-11       3.227794670356e-12      -1.022907958972e-14 
   67       2.478911354898e-10       3.686554606902e-14      -5.970009743030e-13       0.000000000000e+00       2.527889561584e-11       3.131004499267e-12      -1.006554319976e-14 
   68       2.512496344224e-10       3.847018191913e-14      -6.516084339390e-13       0.000000000000e+00       2.440067414414e-11       3.037901541151e-12      -9.903909517493e-15 
   69       2.546358861899e-10       4.010571042186e-14      -7.078604841767e-13       0.000000000000e+00       2.355935712352e-11       2.948435280924e-12      -9.748040645600e-15 
   70       2.580513807594e-10       4.177149629552e-14      -7.657396391478e-13       0.000000000000e+00       2.275511829969e-11       2.862646784679e-12      -9.597998163609e-15 
   71       2.614972013877e-10       4.346686938460e-14      -8.252268624823e-13       0.000000000000e+00       2.198748166417e-11       2.780510418860e-12      -9.453705587845e-15 
   72       2.649739965973e-10       4.519112473954e-14      -8.863015810718e-13       0.000000000000e+00       2.125528791550e-11       2.701930343718e-12      -9.314941014337e-15 
   73       2.684819521504e-10       4.694352269635e-14      -9.489416988310e-13       0.000000000000e+00       2.055666092050e-11       2.626737006765e-12      -9.181329761736e-15 
   74       2.720207630249e-10       4.872328895640e-14      -1.013123610460e-12       0.000000000000e+00       1.988897417552e-11       2.554683636229e-12      -9.052337014224e-15 
   75       2.755896053886e-10       5.052961466605e-14      -1.078822215210e-12       0.000000000000e+00       1.924881726768e-11       2.485442734513e-12      -8.927260464423e-15 
   76       2.791876308770e-10       5.236159683684e-14      -1.146009894494e-12       0.000000000000e+00       1.863283908081e-11       2.418689282546e-12      -8.805403095482e-15 
   77       2.828156154330e-10       5.421804688664e-14      -1.214653199091e-12       0.000000000000e+00       1.804052906850e-11       2.354375620862e-12      -8.686644165532e-15 
   78       2.864745616225e-10       5.609764716764e-14      -1.284715580034e-12       0.000000000000e+00       1.747188458285e-11       2.292500556616e-12      -8.570959462404e-15 
