#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm          
       7.140252128020e+00       1.660880483354e-05      -1.193893730379e+00       2.101619107736e-04       4.584574983237e-08       1.146143745809e-07       1.407062678142e-13       2.292287491619e-08      -8.954202977845e-01       2.101619107826e-04       5.915142522016e-01       7.017771342184e-01      -1.193893726786e+00       2.101130472003e-04       2.004523886739e-04      -1.193893726786e+00       2.101130472034e-04       2.004512785703e-04      -8.954203032597e-01       2.102611593498e-04 
       7.148456660504e+00       1.662812150539e-05      -1.193909122474e+00       2.104023399814e-04       4.600499708848e-08       1.150124927212e-07       1.415236386504e-13       2.300249854424e-08      -8.954318418555e-01       2.104023399918e-04       5.915146053344e-01       7.017738612835e-01      -1.193909118345e+00       2.103533066551e-04       2.009123008664e-04      -1.193909118345e+00       2.103533066592e-04       2.009110261136e-04      -8.954318481465e-01       2.105019289941e-04 
       7.171525223353e+00       1.668243676343e-05      -1.193952420849e+00       2.110783370005e-04       4.645473781891e-08       1.161368445473e-07       1.438422897329e-13       2.322736890945e-08      -8.954643156366e-01       2.110783370147e-04       5.915155938098e-01       7.017646571821e-01      -1.193952415204e+00       2.110288242637e-04       2.022082440980e-04      -1.193952415204e+00       2.110288242712e-04       2.022065043801e-04      -8.954643242360e-01       2.111788873553e-04 
       7.194593786203e+00       1.673675623638e-05      -1.193995755460e+00       2.117543140840e-04       4.690741875020e-08       1.172685468755e-07       1.461913634283e-13       2.345370937510e-08      -8.954968165950e-01       2.117543141022e-04       5.915165745866e-01       7.017554492196e-01      -1.193995748285e+00       2.117043188037e-04       2.035083400109e-04      -1.193995748285e+00       2.117043188158e-04       2.035061323350e-04      -8.954968275251e-01       2.118558319067e-04 
       7.217662349052e+00       1.679107992424e-05      -1.194039093342e+00       2.124302650141e-04       4.736304831438e-08       1.184076207860e-07       1.485711563437e-13       2.368152415719e-08      -8.955293200063e-01       2.124302650362e-04       5.915175546983e-01       7.017462456373e-01      -1.194039084621e+00       2.123797840466e-04       2.048125884245e-04      -1.194039084621e+00       2.123797840644e-04       2.048099097881e-04      -8.955293332895e-01       2.125327564491e-04 
       7.240730911902e+00       1.684540782701e-05      -1.194082476730e+00       2.131061977101e-04       4.782163808374e-08       1.195540952093e-07       1.509819769002e-13       2.391081904187e-08      -8.955618575474e-01       2.131061977363e-04       5.915185252552e-01       7.017370358760e-01      -1.194082466449e+00       2.130552279014e-04       2.061209891736e-04      -1.194082466449e+00       2.130552279258e-04       2.061178365648e-04      -8.955618732062e-01       2.132096689209e-04 
       7.263799474752e+00       1.689973994468e-05      -1.194125855976e+00       2.137821027651e-04       4.828319576368e-08       1.207079894092e-07       1.534241233933e-13       2.414159788184e-08      -8.955943919820e-01       2.137821027954e-04       5.915194968205e-01       7.017278323478e-01      -1.194125844120e+00       2.137306409507e-04       2.074335420796e-04      -1.194125844120e+00       2.137306409829e-04       2.074299124768e-04      -8.955944100391e-01       2.138865599342e-04 
       7.286868037601e+00       1.695407627727e-05      -1.194169286067e+00       2.144579905637e-04       4.874773350802e-08       1.218693337700e-07       1.558979101988e-13       2.437386675401e-08      -8.956269645499e-01       2.144579905983e-04       5.915204578056e-01       7.017186213058e-01      -1.194169272620e+00       2.144060335686e-04       2.087502469699e-04      -1.194169272620e+00       2.144060336098e-04       2.087461373420e-04      -8.956269850281e-01       2.145634398926e-04 
       7.355995212987e+00       1.711692558221e-05      -1.194299508987e+00       2.164832074269e-04       5.015769882410e-08       1.253942470603e-07       1.635033774451e-13       2.507884941205e-08      -8.957246317400e-01       2.164832074746e-04       5.915233220814e-01       7.016910305340e-01      -1.194299490683e+00       2.164297474583e-04       2.127207409200e-04      -1.194299490683e+00       2.164297475329e-04       2.127151746050e-04      -8.957246596114e-01       2.165916671817e-04 
       7.425122388372e+00       1.727981273530e-05      -1.194429947881e+00       2.185082225919e-04       5.159476574963e-08       1.289869143741e-07       1.714041402514e-13       2.579738287482e-08      -8.958224609106e-01       2.185082226536e-04       5.915261440810e-01       7.016634324324e-01      -1.194429924579e+00       2.184532307636e-04       2.167285115917e-04      -1.194429924579e+00       2.184532308819e-04       2.167214610289e-04      -8.958224963851e-01       2.186197491381e-04 
       7.494249563758e+00       1.744273773655e-05      -1.194560595570e+00       2.205330338877e-04       5.305919822261e-08       1.326479955565e-07       1.796087890123e-13       2.652959911130e-08      -8.959204466773e-01       2.205330339640e-04       5.915289265855e-01       7.016358287908e-01      -1.194560567128e+00       2.204764810313e-04       2.207735542183e-04      -1.194560567128e+00       2.204764812035e-04       2.207649915902e-04      -8.959204899690e-01       2.206476840996e-04 
       7.563376739144e+00       1.760570058595e-05      -1.194691428425e+00       2.225576358491e-04       5.455125951492e-08       1.363781487873e-07       1.881260797005e-13       2.727562975746e-08      -8.960185713191e-01       2.225576359409e-04       5.915316758200e-01       7.016082255117e-01      -1.194691394698e+00       2.224994925139e-04       2.248558639490e-04      -1.194691394698e+00       2.224994927506e-04       2.248457611811e-04      -8.960186226458e-01       2.226754671095e-04 
       7.632503914529e+00       1.776870128350e-05      -1.194822483402e+00       2.245820349118e-04       5.607121595175e-08       1.401780398794e-07       1.969649484302e-13       2.803560797587e-08      -8.961168625517e-01       2.245820350197e-04       5.915343851220e-01       7.015806133517e-01      -1.194822444241e+00       2.245222713644e-04       2.289754359269e-04      -1.194822444241e+00       2.245222716763e-04       2.289637646881e-04      -8.961169221353e-01       2.247031051117e-04 
       7.701631089915e+00       1.793173982921e-05      -1.194953749763e+00       2.266062281868e-04       5.761933178366e-08       1.440483294592e-07       2.061344958102e-13       2.880966589183e-08      -8.962153123221e-01       2.266062283117e-04       5.915370578584e-01       7.015529949903e-01      -1.194953705017e+00       2.265448144111e-04       2.331322653118e-04      -1.194953705018e+00       2.265448148092e-04       2.331189970139e-04      -8.962153803886e-01       2.267305957248e-04 
       7.819558939696e+00       1.820996360784e-05      -1.195178146745e+00       2.300589284017e-04       6.032609702515e-08       1.508152425629e-07       2.225671085587e-13       3.016304851258e-08      -8.963836100585e-01       2.300589285576e-04       5.915415413859e-01       7.015058713368e-01      -1.195178092117e+00       2.299946293234e-04       2.403096097014e-04      -1.195178092117e+00       2.299946298944e-04       2.402935501760e-04      -8.963836931294e-01       2.301890572877e-04 
       7.937486789477e+00       1.848829753528e-05      -1.195403153582e+00       2.335110222883e-04       6.311690111229e-08       1.577922527807e-07       2.400364035255e-13       3.155845055615e-08      -8.965523651869e-01       2.335110224778e-04       5.915459275495e-01       7.014587309305e-01      -1.195403088612e+00       2.334437483227e-04       2.475953450551e-04      -1.195403088612e+00       2.334437490999e-04       2.475764090814e-04      -8.965524639519e-01       2.336470864716e-04 
       8.055414639258e+00       1.876674161153e-05      -1.195628783542e+00       2.369625087016e-04       6.599306257099e-08       1.649826564275e-07       2.585911348437e-13       3.299653128549e-08      -8.967215876567e-01       2.369625089274e-04       5.915502180545e-01       7.014115704313e-01      -1.195628707754e+00       2.368921688564e-04       2.549894468239e-04      -1.195628707754e+00       2.368921698743e-04       2.549675479072e-04      -8.967217028261e-01       2.371046846442e-04 
       8.173342489040e+00       1.904529583661e-05      -1.195855040767e+00       2.404133847219e-04       6.895590089727e-08       1.723897522432e-07       2.782815942784e-13       3.447795044864e-08      -8.968912805755e-01       2.404133849868e-04       5.915544161902e-01       7.013643887791e-01      -1.195854953672e+00       2.403398865956e-04       2.624918903081e-04      -1.195854953672e+00       2.403398878896e-04       2.624669406800e-04      -8.968914128805e-01       2.405618513956e-04 
       8.291270338821e+00       1.932396021051e-05      -1.196081924945e+00       2.438636465256e-04       7.200673673792e-08       1.800168418448e-07       2.991596376759e-13       3.600336836896e-08      -8.970614437087e-01       2.438636468326e-04       5.915585258756e-01       7.013171860282e-01      -1.196081826038e+00       2.437868963059e-04       2.701026506479e-04      -1.196081826039e+00       2.437868979126e-04       2.700745612670e-04      -8.970615939019e-01       2.440185854084e-04 
       8.409198188602e+00       1.960273473322e-05      -1.196309439259e+00       2.473132910591e-04       7.514689235692e-08       1.878672308923e-07       3.212787128474e-13       3.757344617846e-08      -8.972320794445e-01       2.473132914113e-04       5.915625500094e-01       7.012699613584e-01      -1.196309328023e+00       2.472331935216e-04       2.778217027974e-04      -1.196309328024e+00       2.472331954785e-04       2.777903833495e-04      -8.972322482998e-01       2.474748861321e-04 
       8.527126038383e+00       1.988161940475e-05      -1.196537588197e+00       2.507623156047e-04       7.837769152822e-08       1.959442288206e-07       3.446938853578e-13       3.918884576411e-08      -8.974031911478e-01       2.507623160053e-04       5.915664909585e-01       7.012227136235e-01      -1.196537464097e+00       2.506787741108e-04       2.856490215224e-04      -1.196537464098e+00       2.506787764565e-04       2.856143804211e-04      -8.974033794613e-01       2.509307533485e-04 
       8.735901843609e+00       2.037561828831e-05      -1.196943060447e+00       2.568668317912e-04       8.432376689792e-08       2.108094172448e-07       3.895015506162e-13       4.216188344896e-08      -8.977072953356e-01       2.568668322860e-04       5.915732715306e-01       7.011390090197e-01      -1.196942912217e+00       2.567769518754e-04       2.997716860356e-04      -1.196942912219e+00       2.567769550076e-04       2.997309358657e-04      -8.977075201174e-01       2.570478485838e-04 
       8.944677648835e+00       2.086996240099e-05      -1.197350571364e+00       2.629693846975e-04       9.056545710895e-08       2.264136427724e-07       4.388777022762e-13       4.528272855448e-08      -8.980129285235e-01       2.629693852981e-04       5.915798058415e-01       7.010552195060e-01      -1.197350397195e+00       2.628728511717e-04       3.142334583977e-04      -1.197350397199e+00       2.628728552210e-04       3.141863010676e-04      -8.980131924628e-01       2.631635866570e-04 
       9.153453454061e+00       2.136465174278e-05      -1.197760129431e+00       2.690699569478e-04       9.711013917678e-08       2.427753479419e-07       4.931667772973e-13       4.855506958839e-08      -8.983200970736e-01       2.690699576666e-04       5.915861056562e-01       7.009713428245e-01      -1.197759927427e+00       2.689664467426e-04       3.290341948434e-04      -1.197759927431e+00       2.689664518460e-04       3.289803252114e-04      -8.983204029876e-01       2.692779639867e-04 
       9.362229259287e+00       2.185968631369e-05      -1.198171738756e+00       2.751685303716e-04       1.039652033917e-07       2.599130084792e-07       5.527305362849e-13       5.198260169584e-08      -8.986288040679e-01       2.751685312220e-04       5.915921820870e-01       7.008873778095e-01      -1.198171506929e+00       2.750577125210e-04       3.441737498714e-04      -1.198171506935e+00       2.750577188218e-04       3.441128557497e-04      -8.986291549047e-01       2.753909761644e-04 
       9.571005064513e+00       2.235506611372e-05      -1.198585443247e+00       2.812650968764e-04       1.111380574777e-07       2.778451436942e-07       6.179485516917e-13       5.556902873884e-08      -8.989390824360e-01       2.812650978728e-04       5.915980364313e-01       7.008033133450e-01      -1.198585179515e+00       2.811466325027e-04       3.596519763445e-04      -1.198585179523e+00       2.811466401508e-04       3.595837385039e-04      -8.989394812774e-01       2.815026288275e-04 
