# dimensionless [l(l+1)/2pi] C_l's for scalar dark radiation density isocurvature (DRID) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       1.619801328790e-10       5.286439838915e-14       1.766569228653e-12       0.000000000000e+00       1.749310643665e-13       1.546816164001e-14      -2.933634139927e-16 
   80       1.607135088397e-10       5.489890766315e-14       1.773358059372e-12       0.000000000000e+00       1.705423190042e-13       1.506622820002e-14      -2.936316100890e-16 
   81       1.594469419610e-10       5.697410009740e-14       1.779076002991e-12       0.000000000000e+00       1.662947493464e-13       1.468087979525e-14      -2.937900093900e-16 
   82       1.581804768916e-10       5.908944478269e-14       1.783711174586e-12       0.000000000000e+00       1.621801719257e-13       1.431174853018e-14      -2.940738130323e-16 
   83       1.569134704382e-10       6.124435495824e-14       1.787252510471e-12       0.000000000000e+00       1.581875467278e-13       1.395822389004e-14      -2.947409735324e-16 
   84       1.556452767795e-10       6.343821807170e-14       1.789689705065e-12       0.000000000000e+00       1.543060452463e-13       1.361961847232e-14      -2.960143388605e-16 
   85       1.543775048939e-10       6.567049407623e-14       1.791012987102e-12       0.000000000000e+00       1.505350902889e-13       1.329571887960e-14      -2.978955819035e-16 
   86       1.531120774522e-10       6.794063150341e-14       1.791213324881e-12       0.000000000000e+00       1.468757779963e-13       1.298630805419e-14      -3.003215219641e-16 
   87       1.518505261703e-10       7.024803720078e-14       1.790282505170e-12       0.000000000000e+00       1.433277827614e-13       1.269099052100e-14      -3.032196125186e-16 
   88       1.505939713364e-10       7.259207576386e-14       1.788213142189e-12       0.000000000000e+00       1.398892960188e-13       1.240918523958e-14      -3.065076343040e-16 
   89       1.493431013379e-10       7.497206896804e-14       1.784998686598e-12       0.000000000000e+00       1.365569650348e-13       1.214011845632e-14      -3.100933884059e-16 
   90       1.480981521884e-10       7.738729520065e-14       1.780633434477e-12       0.000000000000e+00       1.333258316968e-13       1.188281655651e-14      -3.138743893453e-16 
   91       1.468588870549e-10       7.983698889282e-14       1.775112536313e-12       0.000000000000e+00       1.301892713036e-13       1.163609891646e-14      -3.177375581664e-16 
   92       1.456245757850e-10       8.232033995152e-14       1.768432005987e-12       0.000000000000e+00       1.271389313546e-13       1.139857075561e-14      -3.215589155241e-16 
   93       1.443945843148e-10       8.483650308345e-14       1.760588460351e-12       0.000000000000e+00       1.241669395727e-13       1.116896536842e-14      -3.252278534057e-16 
   94       1.431702887665e-10       8.738462860469e-14       1.751578273649e-12       0.000000000000e+00       1.212730407972e-13       1.094724522405e-14      -3.287247927053e-16 
   95       1.419534127186e-10       8.996383523616e-14       1.741398311942e-12       0.000000000000e+00       1.184584253027e-13       1.073365402701e-14      -3.320546922500e-16 
   96       1.407454310361e-10       9.257320019807e-14       1.730046196397e-12       0.000000000000e+00       1.157235255499e-13       1.052837977264e-14      -3.352235409156e-16 
   97       1.395475577693e-10       9.521175877769e-14       1.717520308576e-12       0.000000000000e+00       1.130679861245e-13       1.033155239512e-14      -3.382383881009e-16 
   98       1.383607340527e-10       9.787850389713e-14       1.703819795719e-12       0.000000000000e+00       1.104906336768e-13       1.014324141546e-14      -3.411073742018e-16 
   99       1.371856160035e-10       1.005723856810e-13       1.688944576034e-12       0.000000000000e+00       1.079894468606e-13       9.963453589480e-15      -3.438397610861e-16 
  100       1.360225626210e-10       1.032923110244e-13       1.672895343981e-12       0.000000000000e+00       1.055615262723e-13       9.792130555831e-15      -3.464459625671e-16 
