# Matter power spectrum P(k) for adiabatic (AD) mode at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.394298835787e-01       1.180412774022e+03 
       2.426860862066e-01       1.155695235199e+03 
       2.459422903507e-01       1.133263457223e+03 
       2.491984959510e-01       1.112287721114e+03 
       2.524547029508e-01       1.091986019006e+03 
       2.557109112964e-01       1.071697186808e+03 
       2.589671209366e-01       1.050927648349e+03 
       2.622233318230e-01       1.029368224165e+03 
       2.654795439094e-01       1.006884508049e+03 
       2.687357571520e-01       9.835151369308e+02 
       2.719919715088e-01       9.594232135351e+02 
       2.752481869403e-01       9.348918756957e+02 
       2.785044034084e-01       9.103003952467e+02 
       2.817606208770e-01       8.860578621155e+02 
       2.850168393116e-01       8.625690255749e+02 
       2.882730586794e-01       8.401806291513e+02 
       2.915292789488e-01       8.191454212536e+02 
       2.947855000899e-01       7.995978252987e+02 
       2.980417220738e-01       7.815563386216e+02 
       3.012979448732e-01       7.649432300275e+02 
       3.045541684617e-01       7.496126210311e+02 
       3.078103928142e-01       7.353727837020e+02 
       3.110666179065e-01       7.220085056389e+02 
       3.143228437156e-01       7.092915033456e+02 
       3.175790702192e-01       6.969955191995e+02 
       3.208352973961e-01       6.849079872350e+02 
       3.240915252260e-01       6.728494834293e+02 
       3.273477536892e-01       6.606898698298e+02 
       3.306039827669e-01       6.483618276653e+02 
       3.338602124411e-01       6.358615573689e+02 
       3.371164426943e-01       6.232406073783e+02 
       3.403726735100e-01       6.105871921078e+02 
       3.436289048721e-01       5.980085999439e+02 
       3.468851367650e-01       5.856123838341e+02 
       3.501413691739e-01       5.735034096638e+02 
       3.533976020844e-01       5.617669208289e+02 
       3.566538354829e-01       5.504811502962e+02 
       3.599100693559e-01       5.397015632265e+02 
       3.631663036906e-01       5.294601120604e+02 
       3.664225384747e-01       5.197600581128e+02 
       3.696787736963e-01       5.105703218678e+02 
       3.729350093439e-01       5.018353388724e+02 
       3.761912454062e-01       4.934790767046e+02 
       3.794474818727e-01       4.854180247127e+02 
       3.827037187329e-01       4.775791026673e+02 
       3.859599559769e-01       4.698979096511e+02 
       3.892161935949e-01       4.623280528590e+02 
       3.924724315777e-01       4.548361344583e+02 
       3.957286699161e-01       4.473999733247e+02 
       3.989849086015e-01       4.400058910736e+02 
       4.022411476254e-01       4.326516786215e+02 
       4.054973869796e-01       4.253461564969e+02 
       4.087536266561e-01       4.181104473030e+02 
       4.120098666473e-01       4.109753303724e+02 
       4.152661069458e-01       4.039742437977e+02 
       4.185223475443e-01       3.971378458139e+02 
       4.217785884360e-01       3.904884975799e+02 
       4.250348296139e-01       3.840387446972e+02 
       4.282910710717e-01       3.777918162360e+02 
       4.315473128028e-01       3.717457507981e+02 
       4.348035548012e-01       3.658964426186e+02 
       4.380597970609e-01       3.602369863048e+02 
       4.413160395760e-01       3.547589618350e+02 
       4.445722823409e-01       3.494482604435e+02 
       4.478285253503e-01       3.442855331759e+02 
       4.510847685986e-01       3.392489030765e+02 
       4.543410120809e-01       3.343134786998e+02 
       4.575972557920e-01       3.294590703525e+02 
       4.608534997271e-01       3.246716671335e+02 
       4.641097438815e-01       3.199433930842e+02 
       4.673659882506e-01       3.152744564121e+02 
       4.706222328299e-01       3.106644933088e+02 
       4.738784776151e-01       3.061167060815e+02 
       4.771347226018e-01       3.016328033510e+02 
       4.803909677861e-01       2.972167694158e+02 
       4.836472131640e-01       2.928741740969e+02 
       4.869034587314e-01       2.886129080885e+02 
       4.901597044847e-01       2.844429982527e+02 
       4.934159504200e-01       2.803732268431e+02 
       4.966721965340e-01       2.764087364067e+02 
       4.999284428230e-01       2.725495562520e+02 
       5.031846892836e-01       2.687907469127e+02 
       5.064409359125e-01       2.651244751728e+02 
       5.096971827065e-01       2.615423349554e+02 
       5.129534296624e-01       2.580370242994e+02 
       5.162096767772e-01       2.546031899325e+02 
       5.194659240478e-01       2.512361292127e+02 
       5.227221714714e-01       2.479308065396e+02 
       5.259784190450e-01       2.446817982282e+02 
       5.292346667659e-01       2.414825721497e+02 
       5.324909146314e-01       2.383282713071e+02 
       5.357471626389e-01       2.352162809515e+02 
       5.390034107857e-01       2.321474179388e+02 
       5.422596590694e-01       2.291245382841e+02 
       5.455159074875e-01       2.261516150201e+02 
       5.487721560376e-01       2.232314219125e+02 
       5.520284047173e-01       2.203648324987e+02 
       5.552846535243e-01       2.175510751498e+02 
       5.585409024565e-01       2.147885713865e+02 
       5.617971515117e-01       2.120763681499e+02 
       5.650534006877e-01       2.094148832670e+02 
       5.683096499823e-01       2.068049164452e+02 
       5.715658993937e-01       2.042471329085e+02 
       5.748221489198e-01       2.017409551267e+02 
       5.780783985587e-01       1.992838282512e+02 
       5.813346483084e-01       1.968717599686e+02 
       5.845908981671e-01       1.945007937297e+02 
       5.878471481330e-01       1.921680197376e+02 
       5.911033982043e-01       1.898719438174e+02 
       5.943596483793e-01       1.876125860453e+02 
       5.976158986563e-01       1.853895935887e+02 
       6.008721490336e-01       1.832026545853e+02 
       6.041283995096e-01       1.810498843622e+02 
       6.073846500827e-01       1.789294808403e+02 
       6.106409007513e-01       1.768393654793e+02 
       6.138971515139e-01       1.747790704511e+02 
       6.171534023690e-01       1.727493160142e+02 
       6.204096533152e-01       1.707517611329e+02 
       6.236659043511e-01       1.687877343385e+02 
       6.269221554752e-01       1.668578961621e+02 
       6.301784066861e-01       1.649612596324e+02 
       6.334346579825e-01       1.630962251021e+02 
       6.366909093632e-01       1.612609605080e+02 
       6.399471608267e-01       1.594544166174e+02 
       6.432034123720e-01       1.576765309381e+02 
       6.464596639976e-01       1.559276498365e+02 
       6.497159157024e-01       1.542078841258e+02 
       6.529721674852e-01       1.525165171809e+02 
       6.562284193449e-01       1.508520911385e+02 
       6.594846712803e-01       1.492124747480e+02 
       6.627409232903e-01       1.475959754061e+02 
       6.659971753738e-01       1.460016953864e+02 
       6.692534275297e-01       1.444297862075e+02 
       6.725096797569e-01       1.428809046980e+02 
       6.757659320545e-01       1.413555473190e+02 
       6.790221844214e-01       1.398536248426e+02 
       6.822784368567e-01       1.383741850938e+02 
       6.855346893592e-01       1.369157676832e+02 
       6.887909419282e-01       1.354775021887e+02 
       6.920471945626e-01       1.340589917293e+02 
       6.953034472615e-01       1.326607125543e+02 
       6.985597000240e-01       1.312833544435e+02 
       7.018159528493e-01       1.299274373444e+02 
       7.050722057365e-01       1.285926274929e+02 
       7.083284586846e-01       1.272778840941e+02 
       7.115847116929e-01       1.259819766793e+02 
       7.148409647606e-01       1.247037362833e+02 
       7.180972178868e-01       1.234427074538e+02 
       7.213534710707e-01       1.221991473073e+02 
       7.246097243116e-01       1.209733030897e+02 
       7.278659776087e-01       1.197656380766e+02 
       7.311222309613e-01       1.185756405573e+02 
       7.343784843685e-01       1.174022648352e+02 
       7.376347378297e-01       1.162444660483e+02 
       7.408909913442e-01       1.151014005771e+02 
       8.034868125329e-01       9.586872896234e+01 
       8.906676422973e-01       7.583809052209e+01 
       1.024486229509e+00       5.494565604232e+01 
       1.241385322182e+00       3.507960053715e+01 
       1.555309493289e+00       2.053130457772e+01 
